MONTH,DAY_OF_MONTH,ORIGIN,DEST,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
04,01,ANC,SEA,0.1794871794871795,5.8,0,22.6,0,0
04,01,DEN,SEA,-2.9555555555555557,7,0,9.375,0,6.125
04,01,DFW,SEA,0.5517241379310345,20,4.833333333333333,3,0,11.833333333333334
04,01,LAS,SEA,-0.48,11.666666666666666,0,1.8333333333333333,0,25.166666666666668
04,01,LAX,SEA,5.472222222222222,28.071428571428573,0,11.142857142857142,0,8.5
04,01,ORD,SEA,-2.5588235294117645,3.857142857142857,0,11.857142857142858,0,19
04,01,PDX,SEA,15.263157894736842,0,0,8.75,0,73.25
04,01,PHX,SEA,1.3962264150943395,21.833333333333332,0,3,0,22.666666666666668
04,01,SFO,SEA,1.421875,14.909090909090908,1.3636363636363635,1.2727272727272727,0,22.09090909090909
04,01,SJC,SEA,0.3939393939393939,4.333333333333333,0,8.666666666666666,0,13.666666666666666
04,02,ANC,SEA,-1.4634146341463414,30.5,0,4.75,0,14
04,02,DEN,SEA,4.444444444444445,14.857142857142858,0,16,0,50
04,02,DFW,SEA,12.89655172413793,11.909090909090908,4.454545454545454,9,0,16.181818181818183
04,02,LAS,SEA,1.489795918367347,5.714285714285714,0,14.428571428571429,0,30.714285714285715
04,02,LAX,SEA,0.38235294117647056,4.7272727272727275,1.6363636363636365,11.090909090909092,0,7.363636363636363
04,02,ORD,SEA,9.545454545454545,16.22222222222222,0,10.555555555555555,0,26.77777777777778
04,02,PDX,SEA,3,36.333333333333336,16,12.333333333333334,0,1
04,02,PHX,SEA,0.7692307692307693,8.5,0,17.75,0,5
04,02,SFO,SEA,21.85483870967742,9.96,0.08,18.92,0,35.16
04,02,SJC,SEA,5.774193548387097,6.571428571428571,0,8,0,23.571428571428573
04,03,ANC,SEA,-0.12195121951219512,23.5,0,6.333333333333333,0,7.833333333333333
04,03,DEN,SEA,0.9782608695652174,15.625,0,6,0,32.25
04,03,DFW,SEA,0.9,11.714285714285714,0,9.571428571428571,0,8.571428571428571
04,03,LAS,SEA,6.5,6.636363636363637,3.6363636363636362,11.090909090909092,0,27.454545454545453
04,03,LAX,SEA,-2.026315789473684,7.1,0,13.5,0,10.5
04,03,ORD,SEA,6.588235294117647,24.857142857142858,0,6.857142857142857,0,34.57142857142857
04,03,PDX,SEA,7.2272727272727275,0,0,0,0,70.33333333333333
04,03,PHX,SEA,3.7636363636363637,7.909090909090909,0,5.454545454545454,0,24.454545454545453
04,03,SFO,SEA,10.892307692307693,6.523809523809524,0,10.285714285714286,0,31.047619047619047
04,03,SJC,SEA,7.65625,2.3333333333333335,0,10,0,30.666666666666668
04,04,ANC,SEA,-4.7317073170731705,7,0,8.5,0,6.75
04,04,DEN,SEA,5.023255813953488,4,0,22.166666666666668,0,6.083333333333333
04,04,DFW,SEA,5.266666666666667,35.333333333333336,0,7.333333333333333,0,0
04,04,LAS,SEA,1.0625,1.875,0,16.875,0,22.5
04,04,LAX,SEA,-0.9861111111111112,5.6923076923076925,0,17.615384615384617,0,16.53846153846154
04,04,ORD,SEA,2.6129032258064515,82,0,5.333333333333333,0,0
04,04,PDX,SEA,-4.052631578947368,0,0,0,0,0
04,04,PHX,SEA,2.3962264150943398,4.666666666666667,0,15.555555555555555,0,11.444444444444445
04,04,SFO,SEA,-0.38095238095238093,0,1.75,29.833333333333332,0,2.3333333333333335
04,04,SJC,SEA,3.774193548387097,0.2222222222222222,0.6666666666666666,21.88888888888889,0,6
04,05,ANC,SEA,-4.476190476190476,21,0,13,0,0
04,05,DEN,SEA,8.478260869565217,18.4,0,6.5,0,24.4
04,05,DFW,SEA,6.266666666666667,7.222222222222222,0,9.555555555555555,0,8.666666666666666
04,05,LAS,SEA,1.163265306122449,3.909090909090909,0,20,0,19.181818181818183
04,05,LAX,SEA,-1.5333333333333334,7.571428571428571,0,18.5,0,13.785714285714286
04,05,ORD,SEA,7.909090909090909,26,0,4.333333333333333,0,4.666666666666667
04,05,PDX,SEA,5.090909090909091,0,0,10,0,21.4
04,05,PHX,SEA,4.584905660377358,1.4166666666666667,0,16.583333333333332,0,23.833333333333332
04,05,SFO,SEA,0.7777777777777778,5,0,18.76923076923077,0,15.153846153846153
04,05,SJC,SEA,-1.2903225806451613,0,0,29.2,0,17.4
04,06,ANC,SEA,-0.9534883720930233,12,0,20.4,0,20.8
04,06,DEN,SEA,3.74468085106383,5.777777777777778,1.5555555555555556,1.6666666666666667,0,48
04,06,DFW,SEA,0.03333333333333333,33.333333333333336,0,1.6666666666666667,0,12.333333333333334
04,06,LAS,SEA,-3.58,9.636363636363637,0,2.1818181818181817,0,18.90909090909091
04,06,LAX,SEA,21.926829268292682,34.473684210526315,34.21052631578947,6.894736842105263,0,57.26315789473684
04,06,ORD,SEA,6.285714285714286,13,0,1.5,0,21.375
04,06,PDX,SEA,8.782608695652174,23.5,0,0.5,0,42.25
04,06,PHX,SEA,-3.6,17,0,0,0,39.4
04,06,SFO,SEA,15.656716417910447,4.7894736842105265,0.21052631578947367,18.736842105263158,0,60.26315789473684
04,06,SJC,SEA,1.7352941176470589,23,0,0.25,0,57.5
04,07,ANC,SEA,14.30232558139535,30.166666666666668,0,15.666666666666666,0,6.5
04,07,DEN,SEA,-4.914893617021277,5.285714285714286,0.7142857142857143,6.142857142857143,0,12.285714285714286
04,07,DFW,SEA,4.033333333333333,36.833333333333336,0,1.5,0,11.333333333333334
04,07,LAS,SEA,0.24489795918367346,11.285714285714286,0,5.428571428571429,0,46.57142857142857
04,07,LAX,SEA,3.75,24.764705882352942,1.4705882352941178,6.764705882352941,0,40.64705882352941
04,07,ORD,SEA,22.514285714285716,9,0,8.833333333333334,0,48.583333333333336
04,07,PDX,SEA,25.956521739130434,2.9,0,10.3,0,59
04,07,PHX,SEA,-4.735849056603773,29.666666666666668,0,4,0,18.166666666666668
04,07,SFO,SEA,19.602941176470587,18.727272727272727,0,8.909090909090908,0,56.13636363636363
04,07,SJC,SEA,-4.25,16.333333333333332,0,10.666666666666666,0,6.666666666666667
04,08,ANC,SEA,0.5263157894736842,6.6,0,24.2,0,7.6
04,08,DEN,SEA,-7,34.333333333333336,0,24.666666666666668,0,26
04,08,DFW,SEA,-6.733333333333333,10,0,0.2,0,19.4
04,08,LAS,SEA,20.291666666666668,75.81818181818181,0,1.9090909090909092,0,35.63636363636363
04,08,LAX,SEA,4.884615384615385,82.11111111111111,0,5.444444444444445,0,15.11111111111111
04,08,ORD,SEA,-1.3714285714285714,29,0,0,0,4
04,08,PDX,SEA,-4.904761904761905,0,0,0,0,42
04,08,PHX,SEA,-8.192307692307692,17.666666666666668,0,0,0,9
04,08,SFO,SEA,13.109375,15.857142857142858,0,1,0,39.714285714285715
04,08,SJC,SEA,-0.3125,12.6,0,3.2,0.2,9.6
